cluster_id,cluster_size,origin,filename,name
47,2,first,podar-ref/42.fa.sig,"BA000001.2 Pyrococcus horikoshii OT3 DNA, complete genome"
48,2,second,podar-ref/41.fa.sig,"AE009950.1 Pyrococcus furiosus DSM 3638, complete genome"
48,2,first,podar-ref/41.fa.sig,"AE009950.1 Pyrococcus furiosus DSM 3638, complete genome"
49,2,first,podar-ref/45.fa.sig,"CP000850.1 Salinispora arenicola CNS-205, complete genome"
49,2,second,podar-ref/45.fa.sig,"CP000850.1 Salinispora arenicola CNS-205, complete genome"
50,2,first,podar-ref/46.fa.sig,"CP000667.1 Salinispora tropica CNB-440, complete genome"
50,2,second,podar-ref/46.fa.sig,"CP000667.1 Salinispora tropica CNB-440, complete genome"
51,2,second,podar-ref/8.fa.sig,"CP000679.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome"
51,2,first,podar-ref/8.fa.sig,"CP000679.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome"
52,2,second,podar-ref/9.fa.sig,"NZ_FWDH01000003.1 Caldicellulosiruptor bescii strain MACB1021, whole genome shotgun sequence"
52,2,first,podar-ref/9.fa.sig,"NZ_FWDH01000003.1 Caldicellulosiruptor bescii strain MACB1021, whole genome shotgun sequence"
53,2,first,podar-ref/30.fa.sig,"BX950229.1 Methanococcus maripaludis strain S2, complete sequence"
53,2,second,podar-ref/30.fa.sig,"BX950229.1 Methanococcus maripaludis strain S2, complete sequence"
54,2,first,podar-ref/29.fa.sig,"CP000609.1 Methanococcus maripaludis C5, complete genome"
54,2,second,podar-ref/29.fa.sig,"CP000609.1 Methanococcus maripaludis C5, complete genome"
55,2,second,podar-ref/52.fa.sig,"CP000702.1 Thermotoga petrophila RKU-1, complete genome"
55,2,first,podar-ref/52.fa.sig,"CP000702.1 Thermotoga petrophila RKU-1, complete genome"
56,2,second,podar-ref/53.fa.sig,"CP000969.1 Thermotoga sp. RQ2, complete genome"
56,2,first,podar-ref/53.fa.sig,"CP000969.1 Thermotoga sp. RQ2, complete genome"
57,2,second,podar-ref/51.fa.sig,"CP000916.1 Thermotoga neapolitana DSM 4359, complete genome"
57,2,first,podar-ref/51.fa.sig,"CP000916.1 Thermotoga neapolitana DSM 4359, complete genome"
58,2,second,podar-ref/48.fa.sig,"NC_010730.1 Sulfurihydrogenibium sp. YO3AOP1, complete genome"
58,2,first,podar-ref/48.fa.sig,"NC_010730.1 Sulfurihydrogenibium sp. YO3AOP1, complete genome"
59,2,second,podar-ref/49.fa.sig,"NZ_ABZS01000228.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_18, whole genome shotgun sequence"
59,2,first,podar-ref/49.fa.sig,"NZ_ABZS01000228.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_18, whole genome shotgun sequence"
60,2,second,podar-ref/60.fa.sig,"NZ_CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472, whole genome shotgun sequence"
60,2,first,podar-ref/60.fa.sig,"NZ_CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472, whole genome shotgun sequence"
61,2,first,podar-ref/59.fa.sig,"NZ_CH959311.1 Sulfitobacter sp. EE-36 scf_1099451318005, whole genome shotgun sequence"
61,2,second,podar-ref/59.fa.sig,"NZ_CH959311.1 Sulfitobacter sp. EE-36 scf_1099451318005, whole genome shotgun sequence"
62,2,first,podar-ref/63.fa.sig,"NC_011663.1 Shewanella baltica OS223, complete genome"
62,2,second,podar-ref/63.fa.sig,"NC_011663.1 Shewanella baltica OS223, complete genome"
63,2,second,podar-ref/47.fa.sig,"NC_009665.1 Shewanella baltica OS185, complete genome"
63,2,first,podar-ref/47.fa.sig,"NC_009665.1 Shewanella baltica OS185, complete genome"
